Position x:  Position y:  Angle:  Rotation angle:
   1800          500        360          0
   1800          550        360          0
   1800          4450        360          0
   1900          500        360          0
   1900          550        360          0
   1900          4450        360          0
   2000          500        360          0
   2000          550        360          0
   2000          2450        360          0
   2000          3350        360          0
   2000          4450        360          0
   2100          500        360          0
   2100          550        360          0
   2100          2550        360          0
   2100          4450        360          0
   2200          500        360          0
   2200          550        360          0
   2200          1700        360          0
   2200          4450        360          0
   2300          500        360          0
   2300          550        360          0
   2300          2250        360          0
   2300          3250        360          0
   2300          4450        360          0
   2400          500        360          0
   2400          550        360          0
   2400          4450        360          0
   2500          500        360          0
   2500          550        360          0
   2500          4450        360          0
   2600          500        360          0
   2600          550        360          0
   2600          4450        360          0
   2700          500        360          0
   2700          550        360          0
   2700          4450        360          0
   2800          500        360          0
   2800          550        360          0
   2800          4450        360          0
   2900          500        360          0
   2900          550        360          0
   2900          2200        360          0
   2900          3900        360          0
   2900          4450        360          0
   3000          500        360          0
   3000          550        360          0
   3000          1500        360          0
   3000          2350        360          0
   3000          3000        360          0
   3000          4050        360          0
   3000          4450        360          0
   3100          500        360          0
   3100          550        360          0
   3100          4450        360          0
   3200          500        360          0
   3200          550        360          0
   3200          4450        360          0
   3300          500        360          0
   3300          550        360          0
   3300          4450        360          0
   3400          500        360          0
   3400          550        360          0
   3400          4450        360          0
   3500          500        360          0
   3500          550        360          0
   3500          4450        360          0
   3600          500        360          0
   3600          550        360          0
   3600          4450        360          0
   3700          500        360          0
   3700          550        360          0
   3700          2200        360          0
   3700          3900        360          0
   3700          4450        360          0
   3800          500        360          0
   3800          550        360          0
   3800          1400        360          0
   3800          2350        360          0
   3800          2950        360          0
   3800          3200        360          0
   3800          4050        360          0
   3800          4450        360          0
   3900          500        360          0
   3900          550        360          0
   3900          600        360          0
   3900          850        360          0
   3900          1550        360          0
   3900          3300        360          0
   3900          3750        360          0
   3900          4150        360          0
   3900          4450        360          0
   4000          500        360          0
   4000          550        360          0
   4000          4350        360          0
   4000          4450        360          0
   4100          500        360          0
   4100          550        360          0
   4100          1100        360          0
   4100          1150        360          0
   4100          1600        360          0
   4100          3150        360          0
   4100          3400        360          0
   4100          4450        360          0
   4200          500        360          0
   4200          550        360          0
   4200          4450        360          0
   4300          500        360          0
   4300          550        360          0
   4300          3350        360          0
   4300          4450        360          0
   4400          500        360          0
   4400          550        360          0
   4400          4450        360          0
   4500          500        360          0
   4500          550        360          0
   4500          2200        360          0
   4500          4450        360          0
   4600          500        360          0
   4600          550        360          0
   4600          2350        360          0
   4600          3400        360          0
   4600          4450        360          0
   4700          500        360          0
   4700          550        360          0
   4700          4450        360          0
   4800          500        360          0
   4800          550        360          0
   4800          1700        360          0
   4800          4450        360          0
   4900          500        360          0
   4900          550        360          0
   4900          3250        360          0
   4900          4450        360          0
   5000          500        360          0
   5000          550        360          0
   5000          4450        360          0
   5100          500        360          0
   5100          550        360          0
   5100          4450        360          0
   5200          500        360          0
   5200          550        360          0
   5200          4450        360          0
   5300          500        360          0
   5300          550        360          0
   5300          2200        360          0
   5300          4450        360          0
   5400          500        360          0
   5400          550        360          0
   5400          2350        360          0
   5400          4450        360          0
   5500          500        360          0
   5500          550        360          0
   5500          3900        360          0
   5500          4450        360          0
   5600          500        360          0
   5600          550        360          0
   5600          1500        360          0
   5600          3000        360          0
   5600          4050        360          0
   5600          4450        360          0
   5700          500        360          0
   5700          550        360          0
   5700          4450        360          0
   5800          500        360          0
   5800          550        360          0
   5800          4450        360          0
   5900          500        360          0
   5900          550        360          0
   5900          4450        360          0
   6000          500        360          0
   6000          550        360          0
   6000          4450        360          0
   6100          500        360          0
   6100          550        360          0
   6100          2200        360          0
   6100          4450        360          0
   6200          500        360          0
   6200          550        360          0
   6200          2350        360          0
   6200          4450        360          0
   6300          500        360          0
   6300          550        360          0
   6300          3900        360          0
   6300          4450        360          0
   6400          500        360          0
   6400          550        360          0
   6400          1400        360          0
   6400          2950        360          0
   6400          3200        360          0
   6400          4050        360          0
   6400          4450        360          0
   6500          500        360          0
   6500          550        360          0
   6500          600        360          0
   6500          850        360          0
   6500          1550        360          0
   6500          3300        360          0
   6500          3750        360          0
   6500          4150        360          0
   6500          4450        360          0
   6600          500        360          0
   6600          550        360          0
   6600          4350        360          0
   6600          4450        360          0
   6700          500        360          0
   6700          550        360          0
   6700          1100        360          0
   6700          1150        360          0
   6700          1600        360          0
   6700          3150        360          0
   6700          3400        360          0
   6700          4450        360          0
   6800          500        360          0
   6800          550        360          0
   6800          4450        360          0
   6900          500        360          0
   6900          550        360          0
   6900          3350        360          0
   6900          4450        360          0
   7000          500        360          0
   7000          550        360          0
   7000          4450        360          0
   7100          500        360          0
   7100          550        360          0
   7100          4450        360          0
   7200          500        360          0
   7200          550        360          0
   7200          2400        360          0
   7200          3400        360          0
   7200          4450        360          0
   7300          500        360          0
   7300          550        360          0
   7300          2500        360          0
   7300          4450        360          0
   7400          500        360          0
   7400          550        360          0
   7400          1700        360          0
   7400          4450        360          0
   7500          500        360          0
   7500          550        360          0
   7500          2300        360          0
   7500          3250        360          0
   7500          4450        360          0
   7600          500        360          0
   7600          550        360          0
   7600          4450        360          0
   7700          500        360          0
   7700          550        360          0
   7700          4450        360          0
   7800          500        360          0
   7800          550        360          0
   7800          4450        360          0
   7900          500        360          0
   7900          550        360          0
   7900          4450        360          0
   8000          500        360          0
   8000          550        360          0
   8000          4450        360          0
   8100          500        360          0
   8100          550        360          0
   8100          4450        360          0
   8200          500        360          0
   8200          550        360          0
   8200          4450        360          0
   8300          500        360          0
   8300          550        360          0
   8300          2450        360          0
   8300          4450        360          0
   8400          500        360          0
   8400          550        360          0
   8400          600        360          0
   8400          3250        360          0
   8400          3300        360          0
   8400          3350        360          0
   8400          3400        360          0
   8400          3450        360          0
   8400          3500        360          0
   8400          4400        360          0
   8400          4450        360          0
